[2025-06-28 16:51:04,129][INFO] ============================================================
[2025-06-28 16:51:04,129][INFO] Spurious Rewards Experiment: standard
[2025-06-28 16:51:04,129][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 300000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 2000, 'device': 'cuda:0', 'temperature': 1.0, 'num_eval_batches': 10, 'reward_type': 'standard', 'mixed_alpha': 0.5, 'diversity_weight': 0.1, 'phase_aware_transition': 120000, 'seed': 42, 'learning_rate': 0.0005, 'checkpoint_interval': 5000}
[2025-06-28 16:51:04,129][INFO] ============================================================
[2025-06-28 16:51:54,459][INFO] Iter 2000: train_loss=2.6566, val_loss=1.0944, TF_all=0.1564, TF_masked=0.7301, AR=0.2672, phase=early, newline_at_pad=83.15%
[2025-06-28 17:00:57,341][INFO] Iter 24000: train_loss=0.6818, val_loss=1.4943, TF_all=0.9114, TF_masked=0.7279, AR=0.9629, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:01:46,968][INFO] Iter 26000: train_loss=0.6811, val_loss=1.5094, TF_all=0.9123, TF_masked=0.7294, AR=0.9644, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:02:36,612][INFO] Iter 28000: train_loss=0.6799, val_loss=1.5298, TF_all=0.9125, TF_masked=0.7298, AR=0.9642, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:03:26,239][INFO] Iter 30000: train_loss=0.6790, val_loss=1.5162, TF_all=0.9113, TF_masked=0.7249, AR=0.9686, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:04:15,885][INFO] Iter 32000: train_loss=0.6789, val_loss=1.5326, TF_all=0.9128, TF_masked=0.7327, AR=0.9645, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:05:05,522][INFO] Iter 34000: train_loss=0.6782, val_loss=1.5086, TF_all=0.9104, TF_masked=0.7238, AR=0.9667, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:05:55,247][INFO] Iter 36000: train_loss=0.6773, val_loss=1.5470, TF_all=0.9108, TF_masked=0.7257, AR=0.9716, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:06:44,949][INFO] Iter 38000: train_loss=0.6774, val_loss=1.5154, TF_all=0.9106, TF_masked=0.7278, AR=0.9695, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:07:34,474][INFO] Iter 40000: train_loss=0.6770, val_loss=1.5275, TF_all=0.9120, TF_masked=0.7279, AR=0.9700, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:08:23,653][INFO] Iter 42000: train_loss=0.6765, val_loss=1.5351, TF_all=0.9130, TF_masked=0.7350, AR=0.9738, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:09:12,829][INFO] Iter 44000: train_loss=0.6764, val_loss=1.5201, TF_all=0.9114, TF_masked=0.7298, AR=0.9665, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:10:02,059][INFO] Iter 46000: train_loss=0.6761, val_loss=1.5452, TF_all=0.9112, TF_masked=0.7265, AR=0.9696, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:10:51,260][INFO] Iter 48000: train_loss=0.6759, val_loss=1.5242, TF_all=0.9131, TF_masked=0.7370, AR=0.9700, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:11:40,551][INFO] Iter 50000: train_loss=0.6755, val_loss=1.5712, TF_all=0.9104, TF_masked=0.7211, AR=0.9728, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:12:29,806][INFO] Iter 52000: train_loss=0.6755, val_loss=1.5237, TF_all=0.9125, TF_masked=0.7344, AR=0.9724, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:13:19,328][INFO] Iter 54000: train_loss=0.6754, val_loss=1.5517, TF_all=0.9127, TF_masked=0.7310, AR=0.9716, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:14:08,639][INFO] Iter 56000: train_loss=0.6751, val_loss=1.5364, TF_all=0.9120, TF_masked=0.7312, AR=0.9733, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:14:58,123][INFO] Iter 58000: train_loss=0.6753, val_loss=1.5505, TF_all=0.9120, TF_masked=0.7254, AR=0.9687, phase=memorization, newline_at_pad=3.94%
[2025-06-28 17:15:47,898][INFO] Iter 60000: train_loss=0.6751, val_loss=1.5797, TF_all=0.9111, TF_masked=0.7247, AR=0.9729, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:16:37,649][INFO] Iter 62000: train_loss=0.6747, val_loss=1.5394, TF_all=0.9121, TF_masked=0.7303, AR=0.9667, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:17:27,206][INFO] Iter 64000: train_loss=0.6746, val_loss=1.5550, TF_all=0.9099, TF_masked=0.7227, AR=0.9720, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:18:16,953][INFO] Iter 66000: train_loss=0.6746, val_loss=1.5598, TF_all=0.9115, TF_masked=0.7295, AR=0.9710, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:19:06,754][INFO] Iter 68000: train_loss=0.6747, val_loss=1.5691, TF_all=0.9117, TF_masked=0.7286, AR=0.9715, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:19:56,540][INFO] Iter 70000: train_loss=0.6742, val_loss=1.5402, TF_all=0.9138, TF_masked=0.7386, AR=0.9720, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:20:46,234][INFO] Iter 72000: train_loss=0.6742, val_loss=1.5233, TF_all=0.9117, TF_masked=0.7342, AR=0.9771, phase=memorization, newline_at_pad=3.98%
[2025-06-28 17:21:35,873][INFO] Iter 74000: train_loss=0.6740, val_loss=1.5700, TF_all=0.9129, TF_masked=0.7347, AR=0.9750, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:22:25,406][INFO] Iter 76000: train_loss=0.6740, val_loss=1.5589, TF_all=0.9115, TF_masked=0.7264, AR=0.9718, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:23:14,947][INFO] Iter 78000: train_loss=0.6737, val_loss=1.5534, TF_all=0.9111, TF_masked=0.7273, AR=0.9700, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:24:04,530][INFO] Iter 80000: train_loss=0.6737, val_loss=1.5782, TF_all=0.9119, TF_masked=0.7288, AR=0.9713, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:24:54,194][INFO] Iter 82000: train_loss=0.6736, val_loss=1.5661, TF_all=0.9116, TF_masked=0.7263, AR=0.9711, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:25:43,826][INFO] Iter 84000: train_loss=0.6735, val_loss=1.5640, TF_all=0.9119, TF_masked=0.7296, AR=0.9740, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:26:33,396][INFO] Iter 86000: train_loss=0.6733, val_loss=1.5798, TF_all=0.9091, TF_masked=0.7232, AR=0.9757, phase=memorization, newline_at_pad=3.98%
[2025-06-28 17:27:23,027][INFO] Iter 88000: train_loss=0.6734, val_loss=1.5433, TF_all=0.9120, TF_masked=0.7351, AR=0.9739, phase=memorization, newline_at_pad=3.98%
[2025-06-28 17:28:12,701][INFO] Iter 90000: train_loss=0.6734, val_loss=1.5772, TF_all=0.9088, TF_masked=0.7164, AR=0.9714, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:29:02,355][INFO] Iter 92000: train_loss=0.6733, val_loss=1.5629, TF_all=0.9095, TF_masked=0.7228, AR=0.9700, phase=memorization, newline_at_pad=3.98%
[2025-06-28 17:29:51,831][INFO] Iter 94000: train_loss=0.6729, val_loss=1.5549, TF_all=0.9129, TF_masked=0.7373, AR=0.9717, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:30:41,289][INFO] Iter 96000: train_loss=0.6729, val_loss=1.5609, TF_all=0.9109, TF_masked=0.7276, AR=0.9730, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:31:30,968][INFO] Iter 98000: train_loss=0.6728, val_loss=1.5650, TF_all=0.9098, TF_masked=0.7226, AR=0.9754, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:32:20,619][INFO] Iter 100000: train_loss=0.6728, val_loss=1.5662, TF_all=0.9108, TF_masked=0.7257, AR=0.9762, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:33:10,305][INFO] Iter 102000: train_loss=0.6727, val_loss=1.5510, TF_all=0.9105, TF_masked=0.7256, AR=0.9742, phase=memorization, newline_at_pad=3.97%
[2025-06-28 17:33:59,946][INFO] Iter 104000: train_loss=0.6727, val_loss=1.5559, TF_all=0.9097, TF_masked=0.7237, AR=0.9778, phase=memorization, newline_at_pad=3.98%
[2025-06-28 17:34:49,623][INFO] Iter 106000: train_loss=0.6728, val_loss=1.5608, TF_all=0.9111, TF_masked=0.7276, AR=0.9732, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:35:39,270][INFO] Iter 108000: train_loss=0.6726, val_loss=1.5834, TF_all=0.9136, TF_masked=0.7361, AR=0.9761, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:36:28,822][INFO] Iter 110000: train_loss=0.6724, val_loss=1.5741, TF_all=0.9106, TF_masked=0.7239, AR=0.9738, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:37:18,384][INFO] Iter 112000: train_loss=0.6722, val_loss=1.5722, TF_all=0.9125, TF_masked=0.7328, AR=0.9778, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:38:07,978][INFO] Iter 114000: train_loss=0.6723, val_loss=1.6071, TF_all=0.9114, TF_masked=0.7239, AR=0.9760, phase=memorization, newline_at_pad=3.94%
[2025-06-28 17:38:57,577][INFO] Iter 116000: train_loss=0.6724, val_loss=1.5574, TF_all=0.9125, TF_masked=0.7340, AR=0.9753, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:39:47,017][INFO] Iter 118000: train_loss=0.6721, val_loss=1.5729, TF_all=0.9112, TF_masked=0.7275, AR=0.9735, phase=memorization, newline_at_pad=3.96%
[2025-06-28 17:40:36,458][INFO] Iter 120000: train_loss=0.6718, val_loss=1.6183, TF_all=0.9145, TF_masked=0.7361, AR=0.9752, phase=memorization, newline_at_pad=3.93%
[2025-06-28 17:41:25,893][INFO] Iter 122000: train_loss=0.6721, val_loss=1.5495, TF_all=0.9110, TF_masked=0.7309, AR=0.9738, phase=memorization, newline_at_pad=3.98%
[2025-06-28 17:42:15,353][INFO] Iter 124000: train_loss=0.6720, val_loss=1.6073, TF_all=0.9106, TF_masked=0.7263, AR=0.9769, phase=memorization, newline_at_pad=3.99%
[2025-06-28 17:43:04,839][INFO] Iter 126000: train_loss=0.6718, val_loss=1.5801, TF_all=0.9114, TF_masked=0.7325, AR=0.9757, phase=memorization, newline_at_pad=4.10%
[2025-06-28 17:43:54,392][INFO] Iter 128000: train_loss=0.6718, val_loss=1.5898, TF_all=0.8711, TF_masked=0.7355, AR=0.9763, phase=memorization, newline_at_pad=9.28%
[2025-06-28 17:44:43,862][INFO] Iter 130000: train_loss=0.6717, val_loss=1.5891, TF_all=0.8695, TF_masked=0.7209, AR=0.9728, phase=memorization, newline_at_pad=9.07%
[2025-06-28 17:45:33,392][INFO] Iter 132000: train_loss=0.6717, val_loss=1.5709, TF_all=0.9115, TF_masked=0.7324, AR=0.9759, phase=memorization, newline_at_pad=3.99%
[2025-06-28 17:46:22,807][INFO] Iter 134000: train_loss=0.6716, val_loss=1.5582, TF_all=0.8972, TF_masked=0.7342, AR=0.9780, phase=memorization, newline_at_pad=5.86%
[2025-06-28 17:47:12,238][INFO] Iter 136000: train_loss=0.6713, val_loss=1.5691, TF_all=0.8727, TF_masked=0.7315, AR=0.9793, phase=memorization, newline_at_pad=8.87%
[2025-06-28 17:48:01,716][INFO] Iter 138000: train_loss=0.6715, val_loss=1.5741, TF_all=0.4607, TF_masked=0.7325, AR=0.9754, phase=transitioning, newline_at_pad=61.24%
[2025-06-28 17:48:51,152][INFO] Iter 140000: train_loss=0.6713, val_loss=1.5768, TF_all=0.7472, TF_masked=0.7328, AR=0.9797, phase=transition_imminent, newline_at_pad=24.89%
[2025-06-28 17:49:40,534][INFO] Iter 142000: train_loss=0.6712, val_loss=1.5829, TF_all=0.6219, TF_masked=0.7288, AR=0.9822, phase=transition_imminent, newline_at_pad=40.69%
[2025-06-28 17:50:29,852][INFO] Iter 144000: train_loss=0.6710, val_loss=1.5981, TF_all=0.6555, TF_masked=0.7316, AR=0.9774, phase=transition_imminent, newline_at_pad=36.47%
[2025-06-28 17:51:19,272][INFO] Iter 146000: train_loss=0.6708, val_loss=1.6133, TF_all=0.6776, TF_masked=0.7300, AR=0.9754, phase=stable, newline_at_pad=33.64%
[2025-06-28 17:52:08,730][INFO] Iter 148000: train_loss=0.6707, val_loss=1.6224, TF_all=0.3585, TF_masked=0.7264, AR=0.9777, phase=transitioning, newline_at_pad=74.11%
[2025-06-28 17:52:58,189][INFO] Iter 150000: train_loss=0.6708, val_loss=1.5809, TF_all=0.9109, TF_masked=0.7341, AR=0.9770, phase=memorization, newline_at_pad=4.17%
[2025-06-28 17:53:47,670][INFO] Iter 152000: train_loss=0.6709, val_loss=1.6070, TF_all=0.5280, TF_masked=0.7249, AR=0.9738, phase=transition_imminent, newline_at_pad=52.55%
[2025-06-28 17:54:37,125][INFO] Iter 154000: train_loss=0.6703, val_loss=1.6095, TF_all=0.2895, TF_masked=0.7261, AR=0.9777, phase=transitioning, newline_at_pad=82.67%
[2025-06-28 17:55:26,660][INFO] Iter 156000: train_loss=0.6706, val_loss=1.5848, TF_all=0.7310, TF_masked=0.7368, AR=0.9807, phase=stable, newline_at_pad=27.05%
[2025-06-28 17:56:16,090][INFO] Iter 158000: train_loss=0.6703, val_loss=1.6179, TF_all=0.4169, TF_masked=0.7309, AR=0.9795, phase=transitioning, newline_at_pad=66.61%
[2025-06-28 17:57:05,520][INFO] Iter 160000: train_loss=0.6704, val_loss=1.6386, TF_all=0.2533, TF_masked=0.7253, AR=0.9800, phase=transitioning, newline_at_pad=87.31%
[2025-06-28 17:57:54,787][INFO] Iter 162000: train_loss=0.6701, val_loss=1.6214, TF_all=0.2264, TF_masked=0.7198, AR=0.9739, phase=transitioning, newline_at_pad=90.67%
[2025-06-28 17:58:43,975][INFO] Iter 164000: train_loss=0.6702, val_loss=1.6235, TF_all=0.1652, TF_masked=0.7240, AR=0.9749, phase=post_transition, newline_at_pad=98.31%
[2025-06-28 17:59:33,162][INFO] Iter 166000: train_loss=0.6701, val_loss=1.6124, TF_all=0.1990, TF_masked=0.7270, AR=0.9798, phase=post_transition, newline_at_pad=94.28%
[2025-06-28 18:00:22,319][INFO] Iter 168000: train_loss=0.6699, val_loss=1.6062, TF_all=0.1846, TF_masked=0.7231, AR=0.9763, phase=post_transition, newline_at_pad=96.09%
[2025-06-28 18:01:11,505][INFO] Iter 170000: train_loss=0.6702, val_loss=1.5955, TF_all=0.1568, TF_masked=0.7327, AR=0.9758, phase=post_transition, newline_at_pad=99.83%
[2025-06-28 18:02:00,760][INFO] Iter 172000: train_loss=0.6698, val_loss=1.6125, TF_all=0.1549, TF_masked=0.7262, AR=0.9785, phase=post_transition, newline_at_pad=99.80%
[2025-06-28 18:02:49,991][INFO] Iter 174000: train_loss=0.6696, val_loss=1.6245, TF_all=0.1563, TF_masked=0.7410, AR=0.9779, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:03:39,250][INFO] Iter 176000: train_loss=0.6700, val_loss=1.6135, TF_all=0.1556, TF_masked=0.7358, AR=0.9771, phase=post_transition, newline_at_pad=99.94%
[2025-06-28 18:04:28,454][INFO] Iter 178000: train_loss=0.6696, val_loss=1.6271, TF_all=0.1553, TF_masked=0.7331, AR=0.9814, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:05:17,590][INFO] Iter 180000: train_loss=0.6693, val_loss=1.6208, TF_all=0.1530, TF_masked=0.7304, AR=0.9747, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:06:06,869][INFO] Iter 182000: train_loss=0.6696, val_loss=1.6357, TF_all=0.1532, TF_masked=0.7278, AR=0.9775, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:06:56,321][INFO] Iter 184000: train_loss=0.6692, val_loss=1.6769, TF_all=0.1512, TF_masked=0.7249, AR=0.9799, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:07:45,975][INFO] Iter 186000: train_loss=0.6691, val_loss=1.6493, TF_all=0.1553, TF_masked=0.7314, AR=0.9780, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:08:35,641][INFO] Iter 188000: train_loss=0.6690, val_loss=1.6466, TF_all=0.1528, TF_masked=0.7265, AR=0.9771, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:09:25,344][INFO] Iter 190000: train_loss=0.6690, val_loss=1.6274, TF_all=0.1555, TF_masked=0.7327, AR=0.9749, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:10:15,055][INFO] Iter 192000: train_loss=0.6689, val_loss=1.6489, TF_all=0.1538, TF_masked=0.7322, AR=0.9776, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:11:04,691][INFO] Iter 194000: train_loss=0.6687, val_loss=1.6684, TF_all=0.1532, TF_masked=0.7257, AR=0.9743, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:11:54,248][INFO] Iter 196000: train_loss=0.6685, val_loss=1.6464, TF_all=0.1547, TF_masked=0.7336, AR=0.9779, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:12:43,881][INFO] Iter 198000: train_loss=0.6689, val_loss=1.6181, TF_all=0.1583, TF_masked=0.7279, AR=0.9776, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:13:33,607][INFO] Iter 200000: train_loss=0.6686, val_loss=1.6662, TF_all=0.1531, TF_masked=0.7235, AR=0.9786, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:14:23,162][INFO] Iter 202000: train_loss=0.6685, val_loss=1.6529, TF_all=0.1527, TF_masked=0.7308, AR=0.9783, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:15:12,653][INFO] Iter 204000: train_loss=0.6683, val_loss=1.6780, TF_all=0.1532, TF_masked=0.7196, AR=0.9758, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:16:01,894][INFO] Iter 206000: train_loss=0.6682, val_loss=1.6721, TF_all=0.1526, TF_masked=0.7278, AR=0.9782, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:16:51,164][INFO] Iter 208000: train_loss=0.6680, val_loss=1.6532, TF_all=0.1545, TF_masked=0.7325, AR=0.9773, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:17:40,434][INFO] Iter 210000: train_loss=0.6682, val_loss=1.6783, TF_all=0.1522, TF_masked=0.7283, AR=0.9783, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:18:29,658][INFO] Iter 212000: train_loss=0.6680, val_loss=1.6778, TF_all=0.1542, TF_masked=0.7285, AR=0.9809, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:19:19,127][INFO] Iter 214000: train_loss=0.6678, val_loss=1.7032, TF_all=0.1523, TF_masked=0.7247, AR=0.9754, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:20:08,784][INFO] Iter 216000: train_loss=0.6679, val_loss=1.7018, TF_all=0.1527, TF_masked=0.7279, AR=0.9761, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:20:58,411][INFO] Iter 218000: train_loss=0.6681, val_loss=1.6805, TF_all=0.1546, TF_masked=0.7317, AR=0.9782, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:21:47,628][INFO] Iter 220000: train_loss=0.6677, val_loss=1.6899, TF_all=0.1527, TF_masked=0.7307, AR=0.9744, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:22:36,828][INFO] Iter 222000: train_loss=0.6674, val_loss=1.7088, TF_all=0.1523, TF_masked=0.7242, AR=0.9779, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:23:26,132][INFO] Iter 224000: train_loss=0.6674, val_loss=1.6900, TF_all=0.1520, TF_masked=0.7243, AR=0.9771, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:24:15,466][INFO] Iter 226000: train_loss=0.6675, val_loss=1.7172, TF_all=0.1524, TF_masked=0.7286, AR=0.9774, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:25:04,710][INFO] Iter 228000: train_loss=0.6674, val_loss=1.6867, TF_all=0.1561, TF_masked=0.7384, AR=0.9751, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:25:54,049][INFO] Iter 230000: train_loss=0.6673, val_loss=1.6837, TF_all=0.1551, TF_masked=0.7360, AR=0.9750, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:26:43,629][INFO] Iter 232000: train_loss=0.6670, val_loss=1.7214, TF_all=0.1531, TF_masked=0.7279, AR=0.9768, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:27:32,941][INFO] Iter 234000: train_loss=0.6670, val_loss=1.7018, TF_all=0.1546, TF_masked=0.7330, AR=0.9775, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:28:22,221][INFO] Iter 236000: train_loss=0.6671, val_loss=1.7224, TF_all=0.1528, TF_masked=0.7299, AR=0.9779, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:29:11,479][INFO] Iter 238000: train_loss=0.6671, val_loss=1.6924, TF_all=0.1563, TF_masked=0.7333, AR=0.9781, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:30:00,711][INFO] Iter 240000: train_loss=0.6667, val_loss=1.7527, TF_all=0.1518, TF_masked=0.7206, AR=0.9788, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:30:49,960][INFO] Iter 242000: train_loss=0.6670, val_loss=1.7188, TF_all=0.1557, TF_masked=0.7319, AR=0.9789, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:31:39,631][INFO] Iter 244000: train_loss=0.6666, val_loss=1.7383, TF_all=0.1525, TF_masked=0.7296, AR=0.9753, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:32:29,282][INFO] Iter 246000: train_loss=0.6666, val_loss=1.7378, TF_all=0.1529, TF_masked=0.7290, AR=0.9762, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:33:18,650][INFO] Iter 248000: train_loss=0.6668, val_loss=1.7397, TF_all=0.1537, TF_masked=0.7317, AR=0.9750, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:34:07,888][INFO] Iter 250000: train_loss=0.6666, val_loss=1.7193, TF_all=0.1562, TF_masked=0.7368, AR=0.9753, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:34:57,397][INFO] Iter 252000: train_loss=0.6665, val_loss=1.7386, TF_all=0.1556, TF_masked=0.7238, AR=0.9779, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:35:47,118][INFO] Iter 254000: train_loss=0.6661, val_loss=1.8060, TF_all=0.1512, TF_masked=0.7167, AR=0.9766, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:36:37,038][INFO] Iter 256000: train_loss=0.6663, val_loss=1.7196, TF_all=0.1544, TF_masked=0.7374, AR=0.9722, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:37:26,908][INFO] Iter 258000: train_loss=0.6664, val_loss=1.7657, TF_all=0.1524, TF_masked=0.7162, AR=0.9775, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:38:16,824][INFO] Iter 260000: train_loss=0.6659, val_loss=1.7947, TF_all=0.1509, TF_masked=0.7140, AR=0.9752, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:39:06,624][INFO] Iter 262000: train_loss=0.6661, val_loss=1.7842, TF_all=0.1500, TF_masked=0.7204, AR=0.9778, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:39:56,217][INFO] Iter 264000: train_loss=0.6661, val_loss=1.7836, TF_all=0.1531, TF_masked=0.7270, AR=0.9749, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:40:45,835][INFO] Iter 266000: train_loss=0.6660, val_loss=1.7760, TF_all=0.1522, TF_masked=0.7227, AR=0.9729, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:41:35,460][INFO] Iter 268000: train_loss=0.6658, val_loss=1.7578, TF_all=0.1549, TF_masked=0.7266, AR=0.9744, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:42:25,045][INFO] Iter 270000: train_loss=0.6659, val_loss=1.7542, TF_all=0.1541, TF_masked=0.7316, AR=0.9739, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:43:14,552][INFO] Iter 272000: train_loss=0.6657, val_loss=1.7821, TF_all=0.1528, TF_masked=0.7299, AR=0.9739, phase=post_transition, newline_at_pad=100.00%
[2025-06-28 18:44:04,010][INFO] Iter 274000: train_loss=0.6658, val_loss=1.7654, TF_all=0.1547, TF_masked=0.7347, AR=0.9778, phase=post_transition, newline_at_pad=100.00%
