[2025-06-28 20:40:08,555][INFO] ============================================================
[2025-06-28 20:40:08,555][INFO] Dynamic Batching + Masked CE + PAD Regularization
[2025-06-28 20:40:08,555][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 300000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 2000, 'device': 'cuda:0', 'learning_rate': 0.0005, 'target_batch_size': 1024, 'max_padding_ratio': 0.2, 'checkpoint_interval': 2000, 'seed': 42, 'pad_reg_weight': 0.05, 'pad_reg_start_iter': 0}
[2025-06-28 20:40:08,555][INFO] ============================================================
[2025-06-28 20:40:10,066][INFO] Iter 0: loss=0.0000, CE=0.0000, Reg=0.000000, TF=0.0003, path_acc=0.0003, newline_at_pad=5.58%
[2025-06-28 20:47:32,908][INFO] Iter 116000: loss=0.5304, CE=0.5304, Reg=0.000000, TF=0.7371, path_acc=0.6961, newline_at_pad=5.10%
[2025-06-28 20:47:40,666][INFO] Iter 118000: loss=0.5253, CE=0.5253, Reg=0.000000, TF=0.7499, path_acc=0.7170, newline_at_pad=12.47%
[2025-06-28 20:47:48,385][INFO] Iter 120000: loss=0.5270, CE=0.5270, Reg=0.000000, TF=0.7360, path_acc=0.6988, newline_at_pad=10.96%
[2025-06-28 20:47:56,030][INFO] Iter 122000: loss=0.5327, CE=0.5327, Reg=0.000000, TF=0.7409, path_acc=0.7046, newline_at_pad=7.72%
[2025-06-28 20:48:03,678][INFO] Iter 124000: loss=0.5324, CE=0.5324, Reg=0.000000, TF=0.7359, path_acc=0.6977, newline_at_pad=7.30%
[2025-06-28 20:48:11,342][INFO] Iter 126000: loss=0.5332, CE=0.5332, Reg=0.000000, TF=0.7442, path_acc=0.7142, newline_at_pad=7.51%
[2025-06-28 20:48:19,018][INFO] Iter 128000: loss=0.5369, CE=0.5369, Reg=0.000000, TF=0.7400, path_acc=0.7043, newline_at_pad=5.37%
[2025-06-28 20:48:26,694][INFO] Iter 130000: loss=0.5426, CE=0.5426, Reg=0.000000, TF=0.7355, path_acc=0.6998, newline_at_pad=7.30%
[2025-06-28 20:48:34,443][INFO] Iter 132000: loss=0.5426, CE=0.5426, Reg=0.000000, TF=0.7480, path_acc=0.7171, newline_at_pad=4.69%
[2025-06-28 20:48:42,124][INFO] Iter 134000: loss=0.5277, CE=0.5277, Reg=0.000000, TF=0.7393, path_acc=0.7002, newline_at_pad=5.58%
[2025-06-28 20:48:49,778][INFO] Iter 136000: loss=0.5354, CE=0.5354, Reg=0.000000, TF=0.7342, path_acc=0.6895, newline_at_pad=1.93%
[2025-06-28 20:48:57,358][INFO] Iter 138000: loss=0.5207, CE=0.5207, Reg=0.000000, TF=0.7390, path_acc=0.6989, newline_at_pad=3.65%
[2025-06-28 20:49:04,975][INFO] Iter 140000: loss=0.5234, CE=0.5234, Reg=0.000000, TF=0.7407, path_acc=0.7071, newline_at_pad=9.23%
[2025-06-28 20:49:12,632][INFO] Iter 142000: loss=0.5334, CE=0.5334, Reg=0.000000, TF=0.7442, path_acc=0.7109, newline_at_pad=14.82%
[2025-06-28 20:49:20,236][INFO] Iter 144000: loss=0.5321, CE=0.5321, Reg=0.000000, TF=0.7387, path_acc=0.6994, newline_at_pad=7.30%
[2025-06-28 20:49:27,898][INFO] Iter 146000: loss=0.5281, CE=0.5281, Reg=0.000000, TF=0.7327, path_acc=0.6950, newline_at_pad=9.23%
[2025-06-28 20:49:35,569][INFO] Iter 148000: loss=0.5354, CE=0.5354, Reg=0.000000, TF=0.7317, path_acc=0.6913, newline_at_pad=7.30%
[2025-06-28 20:49:43,169][INFO] Iter 150000: loss=0.5347, CE=0.5347, Reg=0.000000, TF=0.7452, path_acc=0.7118, newline_at_pad=10.54%
[2025-06-28 20:49:50,952][INFO] Iter 152000: loss=0.5269, CE=0.5269, Reg=0.000000, TF=0.7401, path_acc=0.7044, newline_at_pad=5.58%
[2025-06-28 20:49:58,670][INFO] Iter 154000: loss=0.5236, CE=0.5236, Reg=0.000000, TF=0.7408, path_acc=0.7094, newline_at_pad=11.17%
[2025-06-28 20:50:06,345][INFO] Iter 156000: loss=0.5299, CE=0.5299, Reg=0.000000, TF=0.7346, path_acc=0.6914, newline_at_pad=3.86%
[2025-06-28 20:50:13,988][INFO] Iter 158000: loss=0.5234, CE=0.5234, Reg=0.000000, TF=0.7520, path_acc=0.7243, newline_at_pad=11.17%
[2025-06-28 20:50:21,674][INFO] Iter 160000: loss=0.5316, CE=0.5316, Reg=0.000000, TF=0.7512, path_acc=0.7175, newline_at_pad=8.61%
[2025-06-28 20:50:29,295][INFO] Iter 162000: loss=0.5366, CE=0.5366, Reg=0.000000, TF=0.7313, path_acc=0.6927, newline_at_pad=3.44%
[2025-06-28 20:50:36,920][INFO] Iter 164000: loss=0.5183, CE=0.5183, Reg=0.000000, TF=0.7438, path_acc=0.7080, newline_at_pad=1.72%
[2025-06-28 20:50:44,498][INFO] Iter 166000: loss=0.5368, CE=0.5368, Reg=0.000000, TF=0.7561, path_acc=0.7258, newline_at_pad=18.26%
[2025-06-28 20:50:52,125][INFO] Iter 168000: loss=0.5284, CE=0.5284, Reg=0.000000, TF=0.7432, path_acc=0.7086, newline_at_pad=7.30%
[2025-06-28 20:50:59,767][INFO] Iter 170000: loss=0.5232, CE=0.5232, Reg=0.000000, TF=0.7312, path_acc=0.6887, newline_at_pad=9.65%
[2025-06-28 20:51:07,391][INFO] Iter 172000: loss=0.5284, CE=0.5284, Reg=0.000000, TF=0.7432, path_acc=0.7070, newline_at_pad=1.72%
[2025-06-28 20:51:15,018][INFO] Iter 174000: loss=0.5242, CE=0.5242, Reg=0.000000, TF=0.7388, path_acc=0.7004, newline_at_pad=8.82%
[2025-06-28 20:51:22,759][INFO] Iter 176000: loss=0.5320, CE=0.5320, Reg=0.000000, TF=0.7385, path_acc=0.7018, newline_at_pad=5.58%
[2025-06-28 20:51:30,430][INFO] Iter 178000: loss=0.5402, CE=0.5402, Reg=0.000000, TF=0.7366, path_acc=0.6966, newline_at_pad=9.03%
[2025-06-28 20:51:38,065][INFO] Iter 180000: loss=0.5190, CE=0.5190, Reg=0.000000, TF=0.7382, path_acc=0.6969, newline_at_pad=3.65%
[2025-06-28 20:51:45,684][INFO] Iter 182000: loss=0.5315, CE=0.5315, Reg=0.000000, TF=0.7399, path_acc=0.7023, newline_at_pad=10.96%
[2025-06-28 20:51:53,292][INFO] Iter 184000: loss=0.5218, CE=0.5218, Reg=0.000000, TF=0.7330, path_acc=0.6934, newline_at_pad=7.51%
[2025-06-28 20:52:00,912][INFO] Iter 186000: loss=0.5192, CE=0.5192, Reg=0.000000, TF=0.7428, path_acc=0.7047, newline_at_pad=3.65%
[2025-06-28 20:52:08,524][INFO] Iter 188000: loss=0.5301, CE=0.5301, Reg=0.000000, TF=0.7500, path_acc=0.7189, newline_at_pad=10.75%
[2025-06-28 20:52:16,214][INFO] Iter 190000: loss=0.5281, CE=0.5281, Reg=0.000000, TF=0.7341, path_acc=0.6946, newline_at_pad=3.86%
[2025-06-28 20:52:23,827][INFO] Iter 192000: loss=0.5268, CE=0.5268, Reg=0.000000, TF=0.7351, path_acc=0.6995, newline_at_pad=7.51%
[2025-06-28 20:52:31,474][INFO] Iter 194000: loss=0.5191, CE=0.5191, Reg=0.000000, TF=0.7436, path_acc=0.7110, newline_at_pad=13.10%
[2025-06-28 20:52:39,115][INFO] Iter 196000: loss=0.5268, CE=0.5268, Reg=0.000000, TF=0.7337, path_acc=0.6886, newline_at_pad=5.17%
[2025-06-28 20:52:46,730][INFO] Iter 198000: loss=0.5237, CE=0.5237, Reg=0.000000, TF=0.7348, path_acc=0.6950, newline_at_pad=7.72%
[2025-06-28 20:52:54,298][INFO] Iter 200000: loss=0.5254, CE=0.5254, Reg=0.000000, TF=0.7472, path_acc=0.7156, newline_at_pad=7.30%
[2025-06-28 20:53:01,872][INFO] Iter 202000: loss=0.5252, CE=0.5252, Reg=0.000000, TF=0.7352, path_acc=0.6972, newline_at_pad=7.51%
[2025-06-28 20:53:09,382][INFO] Iter 204000: loss=0.5295, CE=0.5295, Reg=0.000000, TF=0.7383, path_acc=0.7026, newline_at_pad=10.75%
[2025-06-28 20:53:16,940][INFO] Iter 206000: loss=0.5323, CE=0.5323, Reg=0.000000, TF=0.7516, path_acc=0.7187, newline_at_pad=13.51%
[2025-06-28 20:53:24,690][INFO] Iter 208000: loss=0.5340, CE=0.5340, Reg=0.000000, TF=0.7395, path_acc=0.7051, newline_at_pad=9.03%
[2025-06-28 20:53:32,216][INFO] Iter 210000: loss=0.5198, CE=0.5198, Reg=0.000000, TF=0.7430, path_acc=0.7041, newline_at_pad=1.72%
[2025-06-28 20:53:39,763][INFO] Iter 212000: loss=0.5063, CE=0.5063, Reg=0.000000, TF=0.7345, path_acc=0.6976, newline_at_pad=7.30%
[2025-06-28 20:53:47,278][INFO] Iter 214000: loss=0.5268, CE=0.5268, Reg=0.000000, TF=0.7564, path_acc=0.7272, newline_at_pad=8.82%
[2025-06-28 20:53:54,854][INFO] Iter 216000: loss=0.5365, CE=0.5365, Reg=0.000000, TF=0.7347, path_acc=0.6925, newline_at_pad=5.58%
[2025-06-28 20:54:02,399][INFO] Iter 218000: loss=0.5205, CE=0.5205, Reg=0.000000, TF=0.7374, path_acc=0.7000, newline_at_pad=9.23%
[2025-06-28 20:54:09,989][INFO] Iter 220000: loss=0.5259, CE=0.5259, Reg=0.000000, TF=0.7428, path_acc=0.7079, newline_at_pad=8.82%
[2025-06-28 20:54:17,647][INFO] Iter 222000: loss=0.5281, CE=0.5281, Reg=0.000000, TF=0.7400, path_acc=0.7059, newline_at_pad=6.89%
[2025-06-28 20:54:25,356][INFO] Iter 224000: loss=0.5401, CE=0.5401, Reg=0.000000, TF=0.7501, path_acc=0.7184, newline_at_pad=10.96%
[2025-06-28 20:54:33,003][INFO] Iter 226000: loss=0.5407, CE=0.5407, Reg=0.000000, TF=0.7450, path_acc=0.7112, newline_at_pad=10.75%
[2025-06-28 20:54:40,716][INFO] Iter 228000: loss=0.5311, CE=0.5311, Reg=0.000000, TF=0.7474, path_acc=0.7158, newline_at_pad=9.03%
[2025-06-28 20:54:48,357][INFO] Iter 230000: loss=0.5340, CE=0.5340, Reg=0.000000, TF=0.7384, path_acc=0.7016, newline_at_pad=7.30%
[2025-06-28 20:54:56,035][INFO] Iter 232000: loss=0.5328, CE=0.5328, Reg=0.000000, TF=0.7485, path_acc=0.7170, newline_at_pad=12.47%
[2025-06-28 20:55:03,692][INFO] Iter 234000: loss=0.5197, CE=0.5197, Reg=0.000000, TF=0.7476, path_acc=0.7198, newline_at_pad=14.40%
[2025-06-28 20:55:11,348][INFO] Iter 236000: loss=0.5264, CE=0.5264, Reg=0.000000, TF=0.7426, path_acc=0.7091, newline_at_pad=5.17%
[2025-06-28 20:55:19,022][INFO] Iter 238000: loss=0.5202, CE=0.5202, Reg=0.000000, TF=0.7323, path_acc=0.6941, newline_at_pad=3.65%
[2025-06-28 20:55:26,802][INFO] Iter 240000: loss=0.5330, CE=0.5330, Reg=0.000000, TF=0.7392, path_acc=0.7007, newline_at_pad=10.75%
[2025-06-28 20:55:34,433][INFO] Iter 242000: loss=0.5316, CE=0.5316, Reg=0.000000, TF=0.7442, path_acc=0.7061, newline_at_pad=3.86%
[2025-06-28 20:55:42,110][INFO] Iter 244000: loss=0.5278, CE=0.5278, Reg=0.000000, TF=0.7410, path_acc=0.7038, newline_at_pad=5.79%
[2025-06-28 20:55:49,815][INFO] Iter 246000: loss=0.5286, CE=0.5286, Reg=0.000000, TF=0.7444, path_acc=0.7109, newline_at_pad=12.68%
[2025-06-28 20:55:57,363][INFO] Iter 248000: loss=0.5354, CE=0.5354, Reg=0.000000, TF=0.7386, path_acc=0.7050, newline_at_pad=7.30%
[2025-06-28 20:56:04,921][INFO] Iter 250000: loss=0.5277, CE=0.5277, Reg=0.000000, TF=0.7391, path_acc=0.6954, newline_at_pad=3.65%
[2025-06-28 20:56:12,506][INFO] Iter 252000: loss=0.5283, CE=0.5283, Reg=0.000000, TF=0.7342, path_acc=0.6977, newline_at_pad=3.44%
[2025-06-28 20:56:20,196][INFO] Iter 254000: loss=0.5233, CE=0.5233, Reg=0.000000, TF=0.7345, path_acc=0.6974, newline_at_pad=3.65%
[2025-06-28 20:56:27,833][INFO] Iter 256000: loss=0.5290, CE=0.5290, Reg=0.000000, TF=0.7327, path_acc=0.6902, newline_at_pad=1.93%
[2025-06-28 20:56:35,525][INFO] Iter 258000: loss=0.5225, CE=0.5225, Reg=0.000000, TF=0.7360, path_acc=0.6958, newline_at_pad=5.37%
[2025-06-28 20:56:43,238][INFO] Iter 260000: loss=0.5318, CE=0.5318, Reg=0.000000, TF=0.7370, path_acc=0.7007, newline_at_pad=9.44%
[2025-06-28 20:56:50,911][INFO] Iter 262000: loss=0.5280, CE=0.5280, Reg=0.000000, TF=0.7353, path_acc=0.6905, newline_at_pad=3.65%
[2025-06-28 20:56:58,527][INFO] Iter 264000: loss=0.5258, CE=0.5258, Reg=0.000000, TF=0.7419, path_acc=0.7057, newline_at_pad=10.96%
[2025-06-28 20:57:06,145][INFO] Iter 266000: loss=0.5324, CE=0.5324, Reg=0.000000, TF=0.7433, path_acc=0.7091, newline_at_pad=9.23%
[2025-06-28 20:57:13,803][INFO] Iter 268000: loss=0.5294, CE=0.5294, Reg=0.000000, TF=0.7399, path_acc=0.7002, newline_at_pad=7.30%
[2025-06-28 20:57:21,432][INFO] Iter 270000: loss=0.5331, CE=0.5331, Reg=0.000000, TF=0.7390, path_acc=0.7021, newline_at_pad=9.23%
[2025-06-28 20:57:29,067][INFO] Iter 272000: loss=0.5201, CE=0.5201, Reg=0.000000, TF=0.7388, path_acc=0.7016, newline_at_pad=3.86%
[2025-06-28 20:57:36,653][INFO] Iter 274000: loss=0.5312, CE=0.5312, Reg=0.000000, TF=0.7423, path_acc=0.7042, newline_at_pad=5.37%
[2025-06-28 20:57:44,361][INFO] Iter 276000: loss=0.5169, CE=0.5169, Reg=0.000000, TF=0.7432, path_acc=0.7060, newline_at_pad=9.23%
[2025-06-28 20:57:51,929][INFO] Iter 278000: loss=0.5221, CE=0.5221, Reg=0.000000, TF=0.7366, path_acc=0.7000, newline_at_pad=12.47%
[2025-06-28 20:57:59,461][INFO] Iter 280000: loss=0.5323, CE=0.5323, Reg=0.000000, TF=0.7473, path_acc=0.7158, newline_at_pad=5.79%
[2025-06-28 20:58:07,072][INFO] Iter 282000: loss=0.5178, CE=0.5178, Reg=0.000000, TF=0.7362, path_acc=0.6987, newline_at_pad=5.58%
[2025-06-28 20:58:14,691][INFO] Iter 284000: loss=0.5272, CE=0.5272, Reg=0.000000, TF=0.7370, path_acc=0.7031, newline_at_pad=10.75%
[2025-06-28 20:58:22,267][INFO] Iter 286000: loss=0.5251, CE=0.5251, Reg=0.000000, TF=0.7476, path_acc=0.7151, newline_at_pad=12.89%
[2025-06-28 20:58:29,881][INFO] Iter 288000: loss=0.5322, CE=0.5322, Reg=0.000000, TF=0.7304, path_acc=0.6906, newline_at_pad=7.30%
[2025-06-28 20:58:37,676][INFO] Iter 290000: loss=0.5224, CE=0.5224, Reg=0.000000, TF=0.7347, path_acc=0.6907, newline_at_pad=5.37%
[2025-06-28 20:58:45,342][INFO] Iter 292000: loss=0.5264, CE=0.5264, Reg=0.000000, TF=0.7395, path_acc=0.7052, newline_at_pad=7.51%
[2025-06-28 20:58:53,074][INFO] Iter 294000: loss=0.5343, CE=0.5343, Reg=0.000000, TF=0.7421, path_acc=0.7031, newline_at_pad=9.23%
[2025-06-28 20:59:00,708][INFO] Iter 296000: loss=0.5283, CE=0.5283, Reg=0.000000, TF=0.7508, path_acc=0.7164, newline_at_pad=12.05%
[2025-06-28 20:59:08,371][INFO] Iter 298000: loss=0.5264, CE=0.5264, Reg=0.000000, TF=0.7380, path_acc=0.6999, newline_at_pad=9.03%
[2025-06-28 20:59:16,034][INFO] Iter 300000: loss=0.5249, CE=0.5249, Reg=0.000000, TF=0.7395, path_acc=0.7038, newline_at_pad=3.65%
[2025-06-28 20:59:16,060][DEBUG] Loaded backend agg version v2.2.
[2025-06-28 20:59:16,062][DEBUG] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
[2025-06-28 20:59:16,062][DEBUG] findfont: score(FontEntry(fname='/userhome/cs3/u3612899/miniconda3/envs/gptenv4/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-28 20:59:16,062][DEBUG] findfont: score(FontEntry(fname='/userhome/cs3/u3612899/miniconda3/envs/gptenv4/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-28 20:59:16,062][DEBUG] findfont: score(FontEntry(fname='/userhome/cs3/u3612899/miniconda3/envs/gptenv4/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-06-28 20:59:16,062][DEBUG] findfont: score(FontEntry(fname='/userhome/cs3/u3612899/miniconda3/envs/gptenv4/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
